Name,New Code,GCSE_Score,Density,Eng_HH,Lone_Parent,House_Price,Income,Qual_Level4,Out_Work_Fam,Absence,Crime,Bad_Health,Happiness,Green_Space,PTAL,Cars_HH,Deprivation
North End,E05000258,300.0387387,19333.33333,4469,533,558000.0,56020.0,52.6,23.71428571,1.281331593,64.62035541,4.5,7.654825909,10.65409319,5.236870524,0.40519106,27.77519464
Palace Riverside,E05000259,309.3261905,5000.0,2975,217,950000.0,79350.0,56.2,5.161290323,0.931875,67.68143517,3.7,8.105263158,54.69724574,3.726918037,0.869524985,15.26176831
Parsons Green and Walham,E05000260,321.262963,12000.0,4151,305,1330000.0,83750.0,56.4,7.346938776,1.216348774,106.366828,3.4,7.820736434,9.827255614,4.671401069,0.762027491,20.3044788
Ravenscourt Park,E05000261,339.5204301,9000.0,4258,429,704000.0,65710.0,55.1,12.55813953,1.0,94.49636552,4.9,7.886883164,16.29490069,4.043433565,0.647229716,26.8111666
Sands End,E05000262,321.3060606,9107.142857,4964,786,827750.0,63490.0,47.6,21.69811321,1.185058506,63.85476172,4.4,8.164905754,24.99687777,3.401712943,0.638286527,26.81384442
Shepherd's Bush Green,E05000263,331.8721154,11090.90909,4639,662,440000.0,51330.0,46.5,21.59090909,1.024064712,274.8935473,5.8,7.709821429,9.673977137,5.571161596,0.409582133,34.76186532
Town,E05000264,333.8576923,16000.0,4345,458,690000.0,69820.0,57.9,13.95348837,1.34789916,85.94890511,3.7,8.157407407,0.0,4.629092277,0.584465626,22.82721009
Wormholt and White City,E05000265,308.505036,14888.88889,4303,1095,427500.0,44740.0,32.0,29.86111111,1.343681175,70.68260935,6.5,7.903057967,4.574757891,3.238615553,0.492335258,36.28838707
Alexandra,E05000266,382.0150943,4557.692308,4213,413,625000.0,69550.0,58.5,5.806451613,0.561028894,65.48865254,3.6,6.966216216,52.18449697,3.260597488,0.998044329,18.51330177
Bounds Green,E05000267,335.0286822,9821.428571,4548,917,332350.0,44700.0,37.3,19.01639344,1.411924119,78.99385289,5.5,7.310633001,22.8165266,4.907740444,0.587301587,33.1032975
Bruce Grove,E05000268,298.7234899,16111.11111,4181,1073,325000.0,39330.0,27.6,24.93506494,1.88155929,81.79544379,6.4,7.365602837,4.902412208,4.493993018,0.497530638,44.55966701
Crouch End,E05000269,366.2734694,8892.857143,5371,346,563750.0,70560.0,67.0,5.333333333,0.741291811,62.45053032,3.0,7.417780338,13.86901194,3.382829043,0.747678019,20.39857628
Fortis Green,E05000270,375.2162362,6275.0,4709,487,465000.0,67140.0,58.4,7.462686567,0.773931889,60.31919887,3.5,7.072916667,24.01124225,3.124341941,0.899473992,18.08380094
Harringay,E05000271,302.7841463,8312.5,4143,592,430000.0,48190.0,46.6,21.81818182,1.477497666,99.25216002,5.3,7.528411365,45.43530318,5.344342803,0.459696582,37.08287831
Highgate,E05000272,315.8032787,4660.0,4824,379,732500.0,73250.0,65.7,6.818181818,1.289543726,54.91741427,3.4,7.318278805,41.75587141,3.955121822,0.805708849,17.83351395
Hornsey,E05000273,329.3927273,11545.45455,5079,774,419000.0,52520.0,51.5,20.58823529,1.0,56.24758221,5.7,7.333681484,10.01294399,3.353545234,0.598272519,33.54067032
Muswell Hill,E05000274,374.5246753,6352.941176,4177,337,820000.0,73580.0,62.8,4.680851064,0.800416667,68.82701963,3.3,7.275862069,30.70095034,3.24459172,0.902270703,19.27100915
